
=== Run start: Thu May 28 01:29:24 2026 ===
Student params: 1,230,608
Epoch 1/4 | Step 0/1784 | Loss 0.9844 | Elapsed 0.1min | ETA 165.3min
Epoch 1/4 | Step 25/1784 | Loss nan | Elapsed 2.6min | ETA 177.4min
Epoch 1/4 | Step 50/1784 | Loss nan | Elapsed 5.5min | ETA 191.3min
Epoch 1/4 | Step 75/1784 | Loss nan | Elapsed 8.5min | ETA 200.4min
Epoch 1/4 | Step 100/1784 | Loss nan | Elapsed 11.1min | ETA 196.0min
Epoch 1/4 | Step 125/1784 | Loss nan | Elapsed 13.6min | ETA 192.5min
Epoch 1/4 | Step 150/1784 | Loss nan | Elapsed 16.1min | ETA 190.0min
Epoch 1/4 | Step 175/1784 | Loss nan | Elapsed 18.6min | ETA 188.1min
Epoch 1/4 | Step 200/1784 | Loss nan | Elapsed 21.0min | ETA 186.5min
Epoch 1/4 | Step 225/1784 | Loss nan | Elapsed 23.4min | ETA 184.8min
Epoch 1/4 | Step 250/1784 | Loss nan | Elapsed 25.8min | ETA 183.4min
Epoch 1/4 | Step 275/1784 | Loss nan | Elapsed 28.3min | ETA 182.9min
Epoch 1/4 | Step 300/1784 | Loss nan | Elapsed 30.8min | ETA 182.4min
Epoch 1/4 | Step 325/1784 | Loss nan | Elapsed 33.2min | ETA 181.6min
Epoch 1/4 | Step 350/1784 | Loss nan | Elapsed 35.7min | ETA 181.6min
Epoch 1/4 | Step 375/1784 | Loss nan | Elapsed 38.4min | ETA 182.1min
Epoch 1/4 | Step 400/1784 | Loss nan | Elapsed 40.9min | ETA 181.9min
Epoch 1/4 | Step 425/1784 | Loss nan | Elapsed 43.6min | ETA 182.4min
Epoch 1/4 | Step 450/1784 | Loss nan | Elapsed 46.1min | ETA 182.5min
Epoch 1/4 | Step 475/1784 | Loss nan | Elapsed 597.8min | ETA 2240.4min

=== Run start: Thu May 28 20:43:41 2026 ===
Student params: 1,230,608
Epoch 1/4 | Step 0/1784 | Loss 0.9846 | Elapsed 0.1min | ETA 201.8min
Epoch 1/4 | Step 25/1784 | Loss 0.8799 | Elapsed 2.4min | ETA 163.1min
Epoch 1/4 | Step 50/1784 | Loss 0.8157 | Elapsed 8.7min | ETA 304.1min
Epoch 1/4 | Step 75/1784 | Loss 0.7980 | Elapsed 11.3min | ETA 266.2min
Epoch 1/4 | Step 100/1784 | Loss 0.7420 | Elapsed 13.9min | ETA 245.0min
Epoch 1/4 | Step 125/1784 | Loss 0.7684 | Elapsed 16.2min | ETA 228.8min
Epoch 1/4 | Step 150/1784 | Loss 0.7030 | Elapsed 18.4min | ETA 217.9min
Epoch 1/4 | Step 175/1784 | Loss 0.6881 | Elapsed 20.7min | ETA 210.3min
Epoch 1/4 | Step 200/1784 | Loss 0.6540 | Elapsed 23.4min | ETA 207.5min
Epoch 1/4 | Step 225/1784 | Loss 0.6905 | Elapsed 26.0min | ETA 205.3min
Epoch 1/4 | Step 250/1784 | Loss 0.6739 | Elapsed 28.3min | ETA 201.0min
Epoch 1/4 | Step 275/1784 | Loss 0.6401 | Elapsed 30.9min | ETA 199.9min
Epoch 1/4 | Step 300/1784 | Loss 0.6596 | Elapsed 34.0min | ETA 201.6min
Epoch 1/4 | Step 325/1784 | Loss 0.6742 | Elapsed 36.6min | ETA 200.1min
Epoch 1/4 | Step 350/1784 | Loss 0.6201 | Elapsed 39.3min | ETA 199.7min
Epoch 1/4 | Step 375/1784 | Loss 0.6096 | Elapsed 42.0min | ETA 199.2min
Epoch 1/4 | Step 400/1784 | Loss 0.5857 | Elapsed 44.7min | ETA 198.7min
Epoch 1/4 | Step 425/1784 | Loss 0.6290 | Elapsed 47.5min | ETA 199.1min
Epoch 1/4 | Step 450/1784 | Loss 0.5961 | Elapsed 50.5min | ETA 199.8min
Epoch 1/4 | Step 475/1784 | Loss 0.5921 | Elapsed 53.7min | ETA 201.1min
Epoch 1/4 | Step 500/1784 | Loss 0.5840 | Elapsed 56.9min | ETA 202.7min
Epoch 1/4 | Step 525/1784 | Loss 0.5674 | Elapsed 59.8min | ETA 202.7min
Epoch 1/4 | Step 550/1784 | Loss 0.5663 | Elapsed 62.5min | ETA 202.4min
Epoch 1/4 | Step 575/1784 | Loss 0.5495 | Elapsed 65.6min | ETA 203.0min
Epoch 1/4 | Step 600/1784 | Loss 0.5053 | Elapsed 68.4min | ETA 203.1min
Epoch 1/4 | Step 625/1784 | Loss 0.5651 | Elapsed 71.0min | ETA 202.4min
Epoch 1/4 | Step 650/1784 | Loss 0.5251 | Elapsed 73.6min | ETA 201.7min
Epoch 1/4 | Step 675/1784 | Loss 0.5416 | Elapsed 76.9min | ETA 203.0min
Epoch 1/4 | Step 700/1784 | Loss 0.5304 | Elapsed 79.8min | ETA 203.2min
Epoch 1/4 | Step 725/1784 | Loss 0.5340 | Elapsed 82.4min | ETA 202.5min
Epoch 1/4 | Step 750/1784 | Loss 0.5329 | Elapsed 85.1min | ETA 202.2min
Epoch 1/4 | Step 775/1784 | Loss 0.4760 | Elapsed 87.7min | ETA 201.7min
Epoch 1/4 | Step 800/1784 | Loss 0.5323 | Elapsed 90.3min | ETA 201.1min
Epoch 1/4 | Step 825/1784 | Loss 0.4940 | Elapsed 92.8min | ETA 200.5min
Epoch 1/4 | Step 850/1784 | Loss 0.4850 | Elapsed 95.4min | ETA 200.0min
Epoch 1/4 | Step 875/1784 | Loss 0.5058 | Elapsed 97.9min | ETA 199.4min
Epoch 1/4 | Step 900/1784 | Loss 0.4987 | Elapsed 100.4min | ETA 198.9min
Epoch 1/4 | Step 925/1784 | Loss 0.4919 | Elapsed 102.9min | ETA 198.3min
