
=== Robust run: Tue Jun  9 22:24:24 2026 ===
Student params: 1,230,608
Noise cache: 100  RIR cache: 50
Epoch 1/5 | Step 0/1784 | Loss 0.5936 | Elapsed 0.2min | ETA 296.4min
Epoch 1/5 | Step 25/1784 | Loss 0.4582 | Elapsed 3.6min | ETA 245.3min
Epoch 1/5 | Step 50/1784 | Loss 0.4188 | Elapsed 7.0min | ETA 245.5min
Epoch 1/5 | Step 75/1784 | Loss 0.4968 | Elapsed 10.4min | ETA 244.8min
Epoch 1/5 | Step 100/1784 | Loss 0.4043 | Elapsed 13.9min | ETA 245.8min
Epoch 1/5 | Step 125/1784 | Loss 0.4067 | Elapsed 17.4min | ETA 247.0min
Epoch 1/5 | Step 150/1784 | Loss 0.4547 | Elapsed 20.8min | ETA 245.4min
Epoch 1/5 | Step 175/1784 | Loss 0.4355 | Elapsed 24.3min | ETA 246.0min
Epoch 1/5 | Step 200/1784 | Loss 0.5158 | Elapsed 27.7min | ETA 246.1min
Epoch 1/5 | Step 225/1784 | Loss 0.4666 | Elapsed 31.3min | ETA 247.2min
Epoch 1/5 | Step 250/1784 | Loss 0.4458 | Elapsed 34.9min | ETA 247.7min
Epoch 1/5 | Step 275/1784 | Loss 0.4653 | Elapsed 38.3min | ETA 247.3min
Epoch 1/5 | Step 300/1784 | Loss 0.4723 | Elapsed 41.7min | ETA 247.2min
Epoch 1/5 | Step 325/1784 | Loss 0.4085 | Elapsed 45.2min | ETA 247.3min
Epoch 1/5 | Step 350/1784 | Loss 0.4050 | Elapsed 48.7min | ETA 247.6min
Epoch 1/5 | Step 375/1784 | Loss 0.4250 | Elapsed 53.2min | ETA 252.4min
Epoch 1/5 | Step 400/1784 | Loss 0.5043 | Elapsed 71.3min | ETA 317.1min
Epoch 1/5 | Step 425/1784 | Loss 0.3975 | Elapsed 89.1min | ETA 372.9min
Epoch 1/5 | Step 450/1784 | Loss 0.5191 | Elapsed 108.5min | ETA 429.1min
Epoch 1/5 | Step 475/1784 | Loss 0.4345 | Elapsed 120.2min | ETA 450.6min
Epoch 1/5 | Step 500/1784 | Loss 0.4279 | Elapsed 127.6min | ETA 454.3min
Epoch 1/5 | Step 525/1784 | Loss 0.4698 | Elapsed 134.9min | ETA 457.6min
Epoch 1/5 | Step 550/1784 | Loss 0.4278 | Elapsed 144.3min | ETA 467.2min
Epoch 1/5 | Step 575/1784 | Loss 0.4660 | Elapsed 150.4min | ETA 465.9min
Epoch 1/5 | Step 600/1784 | Loss 0.4459 | Elapsed 157.9min | ETA 468.6min
Epoch 1/5 | Step 625/1784 | Loss 0.5156 | Elapsed 163.5min | ETA 465.8min
Epoch 1/5 | Step 650/1784 | Loss 0.3964 | Elapsed 169.4min | ETA 464.2min
Epoch 1/5 | Step 675/1784 | Loss 0.4288 | Elapsed 175.7min | ETA 463.7min
Epoch 1/5 | Step 700/1784 | Loss 0.4134 | Elapsed 181.6min | ETA 462.2min
Epoch 1/5 | Step 725/1784 | Loss 0.4191 | Elapsed 187.5min | ETA 460.7min
Epoch 1/5 | Step 750/1784 | Loss 0.4302 | Elapsed 193.4min | ETA 459.4min
Epoch 1/5 | Step 775/1784 | Loss 0.3861 | Elapsed 199.4min | ETA 458.4min
Epoch 1/5 | Step 800/1784 | Loss 0.3726 | Elapsed 205.5min | ETA 457.6min
Epoch 1/5 | Step 825/1784 | Loss 0.4405 | Elapsed 211.9min | ETA 457.6min
Epoch 1/5 | Step 850/1784 | Loss 0.4286 | Elapsed 218.1min | ETA 457.1min
Epoch 1/5 | Step 875/1784 | Loss 0.3566 | Elapsed 223.7min | ETA 455.5min
Epoch 1/5 | Step 900/1784 | Loss 0.4623 | Elapsed 229.8min | ETA 454.9min
Epoch 1/5 | Step 925/1784 | Loss 0.4448 | Elapsed 235.5min | ETA 453.8min
Epoch 1/5 | Step 950/1784 | Loss 0.4168 | Elapsed 241.4min | ETA 452.9min
Epoch 1/5 | Step 975/1784 | Loss 0.4067 | Elapsed 248.0min | ETA 453.3min
Epoch 1/5 | Step 1000/1784 | Loss 0.3976 | Elapsed 257.9min | ETA 459.7min
Epoch 1/5 | Step 1025/1784 | Loss 0.4406 | Elapsed 266.8min | ETA 463.9min
Epoch 1/5 | Step 1050/1784 | Loss 0.4076 | Elapsed 275.9min | ETA 468.3min
Epoch 1/5 | Step 1075/1784 | Loss 0.4532 | Elapsed 286.2min | ETA 474.5min
Epoch 1/5 | Step 1100/1784 | Loss 0.4401 | Elapsed 292.6min | ETA 474.1min
Epoch 1/5 | Step 1125/1784 | Loss 0.4810 | Elapsed 295.8min | ETA 468.7min
Epoch 1/5 | Step 1150/1784 | Loss 0.4271 | Elapsed 299.3min | ETA 464.0min
Epoch 1/5 | Step 1175/1784 | Loss 0.3997 | Elapsed 302.7min | ETA 459.2min
Epoch 1/5 | Step 1200/1784 | Loss 0.4628 | Elapsed 306.2min | ETA 454.9min
Epoch 1/5 | Step 1225/1784 | Loss 0.4489 | Elapsed 309.9min | ETA 451.0min
Epoch 1/5 | Step 1250/1784 | Loss 0.4196 | Elapsed 313.3min | ETA 446.7min
Epoch 1/5 | Step 1275/1784 | Loss 0.4313 | Elapsed 316.9min | ETA 443.0min
Epoch 1/5 | Step 1300/1784 | Loss 0.4067 | Elapsed 320.4min | ETA 439.4min
Epoch 1/5 | Step 1325/1784 | Loss 0.5124 | Elapsed 324.1min | ETA 436.0min
Epoch 1/5 | Step 1350/1784 | Loss 0.3812 | Elapsed 327.6min | ETA 432.6min
Epoch 1/5 | Step 1375/1784 | Loss 0.4150 | Elapsed 331.2min | ETA 429.4min
Epoch 1/5 | Step 1400/1784 | Loss 0.4408 | Elapsed 334.6min | ETA 426.1min
Epoch 1/5 | Step 1425/1784 | Loss 0.4829 | Elapsed 338.1min | ETA 422.9min
Epoch 1/5 | Step 1450/1784 | Loss 0.5005 | Elapsed 341.4min | ETA 419.8min
Epoch 1/5 | Step 1475/1784 | Loss 0.4032 | Elapsed 344.8min | ETA 416.7min
Epoch 1/5 | Step 1500/1784 | Loss 0.4840 | Elapsed 348.1min | ETA 413.8min
Epoch 1/5 | Step 1525/1784 | Loss 0.4230 | Elapsed 351.6min | ETA 411.0min
Epoch 1/5 | Step 1550/1784 | Loss 0.4054 | Elapsed 355.0min | ETA 408.3min
Epoch 1/5 | Step 1575/1784 | Loss 0.4458 | Elapsed 358.2min | ETA 405.5min
Epoch 1/5 | Step 1600/1784 | Loss 0.4117 | Elapsed 361.5min | ETA 402.9min
Epoch 1/5 | Step 1625/1784 | Loss 0.4170 | Elapsed 364.9min | ETA 400.4min
Epoch 1/5 | Step 1650/1784 | Loss 0.4389 | Elapsed 368.3min | ETA 398.0min
Epoch 1/5 | Step 1675/1784 | Loss 0.3545 | Elapsed 371.7min | ETA 395.7min
Epoch 1/5 | Step 1700/1784 | Loss 0.4102 | Elapsed 375.0min | ETA 393.3min
Epoch 1/5 | Step 1725/1784 | Loss 0.3872 | Elapsed 378.5min | ETA 391.2min
Epoch 1/5 | Step 1750/1784 | Loss 0.3886 | Elapsed 381.9min | ETA 389.1min
Epoch 1/5 | Step 1775/1784 | Loss 0.4099 | Elapsed 385.5min | ETA 387.2min

=== Epoch 1 | Avg loss 0.4327 | Skipped 0 | Time 386.5min ===
Epoch 2/5 | Step 0/1784 | Loss 0.4476 | Elapsed 0.1min | ETA 220.7min
Epoch 2/5 | Step 25/1784 | Loss 0.4532 | Elapsed 3.7min | ETA 253.4min
Epoch 2/5 | Step 50/1784 | Loss 0.3554 | Elapsed 7.2min | ETA 250.7min
Epoch 2/5 | Step 75/1784 | Loss 0.3544 | Elapsed 10.8min | ETA 253.7min
Epoch 2/5 | Step 100/1784 | Loss 0.4052 | Elapsed 14.2min | ETA 251.7min
Epoch 2/5 | Step 125/1784 | Loss 0.4158 | Elapsed 17.7min | ETA 251.0min
Epoch 2/5 | Step 150/1784 | Loss 0.3779 | Elapsed 21.1min | ETA 249.7min
Epoch 2/5 | Step 175/1784 | Loss 0.4171 | Elapsed 24.8min | ETA 251.2min
Epoch 2/5 | Step 200/1784 | Loss 0.4483 | Elapsed 28.2min | ETA 249.9min
Epoch 2/5 | Step 225/1784 | Loss 0.4229 | Elapsed 31.5min | ETA 248.9min
Epoch 2/5 | Step 250/1784 | Loss 0.4278 | Elapsed 34.8min | ETA 247.5min
Epoch 2/5 | Step 275/1784 | Loss 0.4120 | Elapsed 38.3min | ETA 247.3min
Epoch 2/5 | Step 300/1784 | Loss 0.3921 | Elapsed 41.7min | ETA 247.1min
Epoch 2/5 | Step 325/1784 | Loss 0.4240 | Elapsed 45.1min | ETA 246.8min
Epoch 2/5 | Step 350/1784 | Loss 0.3773 | Elapsed 48.4min | ETA 246.0min
Epoch 2/5 | Step 375/1784 | Loss 0.3916 | Elapsed 51.9min | ETA 246.4min
Epoch 2/5 | Step 400/1784 | Loss 0.4588 | Elapsed 55.3min | ETA 245.9min
Epoch 2/5 | Step 425/1784 | Loss 0.4606 | Elapsed 58.7min | ETA 246.0min
Epoch 2/5 | Step 450/1784 | Loss 0.4179 | Elapsed 62.1min | ETA 245.8min
Epoch 2/5 | Step 475/1784 | Loss 0.3860 | Elapsed 65.6min | ETA 246.0min
Epoch 2/5 | Step 500/1784 | Loss 0.3408 | Elapsed 69.2min | ETA 246.4min
Epoch 2/5 | Step 525/1784 | Loss 0.3873 | Elapsed 72.5min | ETA 246.0min
Epoch 2/5 | Step 550/1784 | Loss 0.4379 | Elapsed 75.9min | ETA 245.9min
Epoch 2/5 | Step 575/1784 | Loss 0.4509 | Elapsed 79.3min | ETA 245.7min
Epoch 2/5 | Step 600/1784 | Loss 0.4186 | Elapsed 82.7min | ETA 245.6min
Epoch 2/5 | Step 625/1784 | Loss 0.4038 | Elapsed 86.2min | ETA 245.6min
Epoch 2/5 | Step 650/1784 | Loss 0.3877 | Elapsed 89.7min | ETA 245.8min
Epoch 2/5 | Step 675/1784 | Loss 0.4271 | Elapsed 93.3min | ETA 246.3min
Epoch 2/5 | Step 700/1784 | Loss 0.4463 | Elapsed 96.9min | ETA 246.7min
Epoch 2/5 | Step 725/1784 | Loss 0.4245 | Elapsed 100.5min | ETA 246.9min

=== Robust run: Wed Jun 10 11:04:34 2026 ===
Student params: 1,230,608
Noise cache: 100  RIR cache: 50
Epoch 2/5 | Step 0/1784 | Loss 0.4601 | Elapsed 0.2min | ETA 295.7min
Epoch 2/5 | Step 25/1784 | Loss 0.4089 | Elapsed 3.8min | ETA 258.8min
Epoch 2/5 | Step 50/1784 | Loss 0.3864 | Elapsed 7.3min | ETA 254.5min
Epoch 2/5 | Step 75/1784 | Loss 0.4436 | Elapsed 10.7min | ETA 252.0min
Epoch 2/5 | Step 100/1784 | Loss 0.3723 | Elapsed 14.3min | ETA 252.1min
Epoch 2/5 | Step 125/1784 | Loss 0.3747 | Elapsed 17.7min | ETA 250.8min
Epoch 2/5 | Step 150/1784 | Loss 0.4103 | Elapsed 21.0min | ETA 248.0min
Epoch 2/5 | Step 175/1784 | Loss 0.3931 | Elapsed 24.5min | ETA 248.8min
Epoch 2/5 | Step 200/1784 | Loss 0.4684 | Elapsed 28.0min | ETA 248.6min
Epoch 2/5 | Step 225/1784 | Loss 0.4290 | Elapsed 31.4min | ETA 248.0min
Epoch 2/5 | Step 250/1784 | Loss 0.4074 | Elapsed 34.9min | ETA 248.0min
Epoch 2/5 | Step 275/1784 | Loss 0.4176 | Elapsed 38.5min | ETA 248.7min
Epoch 2/5 | Step 300/1784 | Loss 0.4163 | Elapsed 42.0min | ETA 248.9min
Epoch 2/5 | Step 325/1784 | Loss 0.3789 | Elapsed 45.6min | ETA 249.6min
Epoch 2/5 | Step 350/1784 | Loss 0.3736 | Elapsed 49.0min | ETA 249.2min
Epoch 2/5 | Step 375/1784 | Loss 0.3954 | Elapsed 52.8min | ETA 250.3min
Epoch 2/5 | Step 400/1784 | Loss 0.4651 | Elapsed 56.4min | ETA 250.9min
Epoch 2/5 | Step 425/1784 | Loss 0.3581 | Elapsed 59.9min | ETA 251.0min
Epoch 2/5 | Step 450/1784 | Loss 0.4605 | Elapsed 63.5min | ETA 251.1min
Epoch 2/5 | Step 475/1784 | Loss 0.3972 | Elapsed 66.9min | ETA 250.8min
Epoch 2/5 | Step 500/1784 | Loss 0.3937 | Elapsed 70.5min | ETA 250.9min
Epoch 2/5 | Step 525/1784 | Loss 0.4311 | Elapsed 74.1min | ETA 251.3min
Epoch 2/5 | Step 550/1784 | Loss 0.4013 | Elapsed 77.7min | ETA 251.5min
Epoch 2/5 | Step 575/1784 | Loss 0.4299 | Elapsed 81.1min | ETA 251.3min
Epoch 2/5 | Step 600/1784 | Loss 0.4187 | Elapsed 84.8min | ETA 251.8min
Epoch 2/5 | Step 625/1784 | Loss 0.4778 | Elapsed 88.3min | ETA 251.8min
Epoch 2/5 | Step 650/1784 | Loss 0.3630 | Elapsed 91.8min | ETA 251.7min
Epoch 2/5 | Step 675/1784 | Loss 0.4002 | Elapsed 95.3min | ETA 251.4min
Epoch 2/5 | Step 700/1784 | Loss 0.3792 | Elapsed 98.8min | ETA 251.5min
Epoch 2/5 | Step 725/1784 | Loss 0.3860 | Elapsed 102.4min | ETA 251.6min
Epoch 2/5 | Step 750/1784 | Loss 0.3941 | Elapsed 105.9min | ETA 251.7min
Epoch 2/5 | Step 775/1784 | Loss 0.3679 | Elapsed 109.4min | ETA 251.5min
Epoch 2/5 | Step 800/1784 | Loss 0.3413 | Elapsed 112.9min | ETA 251.5min
Epoch 2/5 | Step 825/1784 | Loss 0.4101 | Elapsed 116.5min | ETA 251.6min
Epoch 2/5 | Step 850/1784 | Loss 0.3927 | Elapsed 123.6min | ETA 259.1min
Epoch 2/5 | Step 875/1784 | Loss 0.3305 | Elapsed 131.0min | ETA 266.8min
Epoch 2/5 | Step 900/1784 | Loss 0.4240 | Elapsed 141.6min | ETA 280.4min
Epoch 2/5 | Step 925/1784 | Loss 0.4063 | Elapsed 149.6min | ETA 288.3min
Epoch 2/5 | Step 950/1784 | Loss 0.3897 | Elapsed 162.0min | ETA 303.8min
Epoch 2/5 | Step 975/1784 | Loss 0.3755 | Elapsed 170.2min | ETA 311.2min
Epoch 2/5 | Step 1000/1784 | Loss 0.3716 | Elapsed 173.9min | ETA 309.9min
Epoch 2/5 | Step 1025/1784 | Loss 0.4037 | Elapsed 177.4min | ETA 308.4min
Epoch 2/5 | Step 1050/1784 | Loss 0.3827 | Elapsed 180.9min | ETA 307.1min
Epoch 2/5 | Step 1075/1784 | Loss 0.4209 | Elapsed 184.5min | ETA 305.9min
Epoch 2/5 | Step 1100/1784 | Loss 0.4197 | Elapsed 187.9min | ETA 304.5min
Epoch 2/5 | Step 1125/1784 | Loss 0.4448 | Elapsed 191.4min | ETA 303.2min
Epoch 2/5 | Step 1150/1784 | Loss 0.3984 | Elapsed 194.8min | ETA 302.0min
Epoch 2/5 | Step 1175/1784 | Loss 0.3737 | Elapsed 198.4min | ETA 300.9min
Epoch 2/5 | Step 1200/1784 | Loss 0.4376 | Elapsed 201.7min | ETA 299.6min
Epoch 2/5 | Step 1225/1784 | Loss 0.4159 | Elapsed 205.3min | ETA 298.7min
Epoch 2/5 | Step 1250/1784 | Loss 0.3941 | Elapsed 208.8min | ETA 297.8min
Epoch 2/5 | Step 1275/1784 | Loss 0.3949 | Elapsed 212.3min | ETA 296.9min
Epoch 2/5 | Step 1300/1784 | Loss 0.3816 | Elapsed 215.8min | ETA 295.9min
Epoch 2/5 | Step 1325/1784 | Loss 0.4742 | Elapsed 219.3min | ETA 295.0min
Epoch 2/5 | Step 1350/1784 | Loss 0.3567 | Elapsed 222.8min | ETA 294.2min
Epoch 2/5 | Step 1375/1784 | Loss 0.3881 | Elapsed 226.5min | ETA 293.6min
Epoch 2/5 | Step 1400/1784 | Loss 0.4133 | Elapsed 229.9min | ETA 292.8min
Epoch 2/5 | Step 1425/1784 | Loss 0.4430 | Elapsed 233.4min | ETA 292.0min
Epoch 2/5 | Step 1450/1784 | Loss 0.4628 | Elapsed 236.9min | ETA 291.3min
Epoch 2/5 | Step 1475/1784 | Loss 0.3797 | Elapsed 240.4min | ETA 290.5min
Epoch 2/5 | Step 1500/1784 | Loss 0.4462 | Elapsed 243.9min | ETA 289.9min
Epoch 2/5 | Step 1525/1784 | Loss 0.3979 | Elapsed 247.5min | ETA 289.3min
Epoch 2/5 | Step 1550/1784 | Loss 0.3789 | Elapsed 250.9min | ETA 288.6min
Epoch 2/5 | Step 1575/1784 | Loss 0.4150 | Elapsed 254.4min | ETA 288.0min
Epoch 2/5 | Step 1600/1784 | Loss 0.3856 | Elapsed 258.0min | ETA 287.5min
Epoch 2/5 | Step 1625/1784 | Loss 0.3895 | Elapsed 261.5min | ETA 286.9min
Epoch 2/5 | Step 1650/1784 | Loss 0.4141 | Elapsed 265.0min | ETA 286.4min
Epoch 2/5 | Step 1675/1784 | Loss 0.3329 | Elapsed 268.5min | ETA 285.8min
Epoch 2/5 | Step 1700/1784 | Loss 0.3808 | Elapsed 271.9min | ETA 285.1min
Epoch 2/5 | Step 1725/1784 | Loss 0.3636 | Elapsed 275.5min | ETA 284.7min
Epoch 2/5 | Step 1750/1784 | Loss 0.3647 | Elapsed 278.9min | ETA 284.2min
Epoch 2/5 | Step 1775/1784 | Loss 0.3869 | Elapsed 282.4min | ETA 283.7min

=== Epoch 2 | Avg loss 0.3995 | Skipped 0 | Time 283.5min ===
Epoch 3/5 | Step 0/1784 | Loss 0.4390 | Elapsed 0.1min | ETA 229.6min
Epoch 3/5 | Step 25/1784 | Loss 0.4458 | Elapsed 3.5min | ETA 238.0min
Epoch 3/5 | Step 50/1784 | Loss 0.3470 | Elapsed 6.8min | ETA 237.1min
Epoch 3/5 | Step 75/1784 | Loss 0.3492 | Elapsed 10.1min | ETA 236.5min
Epoch 3/5 | Step 100/1784 | Loss 0.3902 | Elapsed 13.2min | ETA 233.4min
Epoch 3/5 | Step 125/1784 | Loss 0.4128 | Elapsed 16.5min | ETA 233.2min
Epoch 3/5 | Step 150/1784 | Loss 0.3722 | Elapsed 19.8min | ETA 233.7min
Epoch 3/5 | Step 175/1784 | Loss 0.4055 | Elapsed 23.1min | ETA 234.6min
Epoch 3/5 | Step 200/1784 | Loss 0.4364 | Elapsed 26.4min | ETA 234.4min
Epoch 3/5 | Step 225/1784 | Loss 0.4077 | Elapsed 29.7min | ETA 234.3min
Epoch 3/5 | Step 250/1784 | Loss 0.4183 | Elapsed 32.9min | ETA 234.1min
Epoch 3/5 | Step 275/1784 | Loss 0.4053 | Elapsed 36.2min | ETA 234.0min
Epoch 3/5 | Step 300/1784 | Loss 0.3839 | Elapsed 39.4min | ETA 233.6min
Epoch 3/5 | Step 325/1784 | Loss 0.4118 | Elapsed 42.7min | ETA 233.8min
Epoch 3/5 | Step 350/1784 | Loss 0.3740 | Elapsed 46.0min | ETA 233.8min
Epoch 3/5 | Step 375/1784 | Loss 0.3793 | Elapsed 49.5min | ETA 234.7min
Epoch 3/5 | Step 400/1784 | Loss 0.4498 | Elapsed 52.7min | ETA 234.3min
Epoch 3/5 | Step 425/1784 | Loss 0.4515 | Elapsed 55.9min | ETA 234.0min
Epoch 3/5 | Step 450/1784 | Loss 0.4102 | Elapsed 59.3min | ETA 234.5min
Epoch 3/5 | Step 475/1784 | Loss 0.3770 | Elapsed 62.6min | ETA 234.5min
Epoch 3/5 | Step 500/1784 | Loss 0.3326 | Elapsed 66.1min | ETA 235.5min
Epoch 3/5 | Step 525/1784 | Loss 0.3798 | Elapsed 75.3min | ETA 255.3min
Epoch 3/5 | Step 550/1784 | Loss 0.4261 | Elapsed 88.7min | ETA 287.2min
Epoch 3/5 | Step 575/1784 | Loss 0.4433 | Elapsed 101.9min | ETA 315.5min
Epoch 3/5 | Step 600/1784 | Loss 0.4069 | Elapsed 110.8min | ETA 328.8min
Epoch 3/5 | Step 625/1784 | Loss 0.3969 | Elapsed 121.5min | ETA 346.2min
Epoch 3/5 | Step 650/1784 | Loss 0.3798 | Elapsed 135.3min | ETA 370.7min
Epoch 3/5 | Step 675/1784 | Loss 0.4212 | Elapsed 148.8min | ETA 392.7min
Epoch 3/5 | Step 700/1784 | Loss 0.4354 | Elapsed 163.4min | ETA 415.8min
Epoch 3/5 | Step 725/1784 | Loss 0.4157 | Elapsed 177.7min | ETA 436.7min
Epoch 3/5 | Step 750/1784 | Loss 0.4447 | Elapsed 190.6min | ETA 452.8min
Epoch 3/5 | Step 775/1784 | Loss 0.4243 | Elapsed 201.8min | ETA 464.0min
Epoch 3/5 | Step 800/1784 | Loss 0.4006 | Elapsed 208.7min | ETA 464.8min
